sentence1,sentence2,label,id
"Armed with canes decorated with bunches of rosemary, the participants proceed on foot to the monastery, where they venerate the Holy Face cloth that, according to tradition, retained the bloodstained image of Jesus' face after Saint Veronica used it to wipe his brow as he went to Calvary.",The Holy Face cloth was used wipe the face of Jesus.,0,mnli_38716
While seated in a plane a man dozes off.,A woman has a newspaper about to slap someone.,2,snli_336710
A sleeping baby in a pink striped outfit.,The baby is dressed in pink stripes and is asleep.,0,snli_299255
It appears to be a makeshift boat floating down a river while a woman is singing.,Three little girls are playing catch at the field with their mothers watching,2,snli_262374
so i but that that's interesting i have a um uh a friend who is a planner,"My friend is an engineer, so I don't see how that's related.",2,mnli_100173
A woman in a white shirt is standing in a doorway near some large baskets.,A woman is sitting on the floor.,2,snli_318003
"Possibility 3: He's not a man, he's a logo.",There is a possibility that he is not a man but a lapdog.,2,mnli_107632
Airplanes stayed airborne and ATMs dispensed cash as usual.,Airplanes remained in the air and ATMs still worked right.,0,mnli_154263
A man shaves his beard outdoors in a driveway while another person holds up a mirror for him.,A person holds up a mirror for a man who is shaving his beard in a driveway.,0,snli_457883
A man with silver hair and a beard plays the saxophone.,The man is eating a pie.,2,snli_71098
A man and children work on the engine of an old truck.,The man is teaching the children.,1,snli_67293
kind of like the Cowboys huh,the Cowboys are having their worst season ever,1,mnli_271619
"This results from a much lower coverage (percent of addresses receiving mail on a given day), a higher population density and other unexplored route and topographical considerations.","The results are lower coverage, higher population density and unexplored rout considerations. ",0,mnli_188476
"Before function is compromised, problematic consumption occurs.",Problematic consumption happens before function gets compromised. ,0,mnli_112472
A young lady in a red shirt is sitting out in public using a laptop.,A young man is watching a young lady on a laptop.,2,snli_210537
that's right no it's not  it's it's not pocket change so it's major so but maybe when the kids get in school that will be you know when they start needing something you know then that will be different but,It's quite a bit of money. ,0,mnli_184732
Three teenagers in yellow shirts cooking colorful food.,They are enjoying themselves.,2,snli_340822
Two tall skyscrapers dominate the plaza.,There are no skyscrapers in the plaza.,2,mnli_365434
The intermediate projections in the 2001 OASDI Trustees' report assume that labor productivity for the entire economy will increase 1.5 percent annually over the next 75 years.,"The projections assume that productivity will increase by 1.5 percent annually, which is a conservative number.",1,mnli_391880
A crowd enjoying a musical band outdoors on a beautiful day.,The crowd is listening to a rock concert at a pavillion,1,snli_100422
A man and a small girl in a pink shirt are sitting on a bench in a park.,They family is sleeping.,2,snli_323095
They hung on for private profit.,The private profit proved perilous.,1,mnli_105466
"A man in a black t-shirt and jeans prepares to throw a dart at an outdoor event, while other men look on in the background.",A man is trying to win the prestigious dart competition.,1,snli_252423
A woman carts a child wearing a bright green cap down the street in a wooden wagon.,A funny human with a cap,1,snli_82357
I am really appalled.,I am completely fine with it and do not in any way in the slightest feel appalled. ,2,mnli_326905
"Can't be easy for him to git them, neither."" ",It must take a lot of work and money to get them.,1,mnli_75857
i think not yeah i think it was you know being in a new place being kind of out of out of sorts and everything all combined but,I am now more comfortable here.,1,mnli_303330
A woman wearing a red shirt and blue jeans in mid jump.,A woman with a ponytail is in mid jump.,1,snli_487865
Cost savings - The acid rain cap and trade program passed by Congress in 1990 achieved reductions at two-thirds the cost of achieving the same reductions under a command-and-control system.,Cost savings is the best method to use when trying to stretch funding.,1,mnli_277101
"In many instances, the best crane for the job is",A crane should not be used in any instance.,2,mnli_261203
Somehow or other the omnipotent Mr. Brown had seen through his pretensions.,Mr. Brown was unable to judge him clearly.,2,mnli_64469
"The icon has a powerful influence over pilgrims, who crawl up the church steps on their hands and knees to pray for divine intervention.","Thousands come to any church for religious peace, pilgrims among them. ",1,mnli_45156
A young girl at a park is jumping off a tire swing while it is swinging into the air.,A child is playing on a tire swing.,0,snli_537706
"From now on, officials will be reluctant to discuss tricky legal issues with government attorneys, fearing that their conversations will come back to haunt them, and will instead secure private counsel .",Bureaucrats will be inclined to talk to their own lawyers instead of those on the government dime.,0,mnli_148795
"The green team lifts a player up in victory after a hard game, but will the red team interfere?",The green team celebrates its victory.,0,snli_133533
An older gentleman in a plaid shirt and glasses is smiling at the camera.,THe older man has to wear glasses to improve his vision.,1,snli_548901
Editorialists lamented that Carey's campaign against union corruption now bears the taint of union corruption.,"To editorialists, Carey's campaign now does not bear the taint of union corruption.",2,mnli_181858
A young girl jumps off of a couch and high into the air.,when the girl jumps it creates new heights everytime,1,snli_7734
A man in black pants and shirt is holding a guitar and standing next to a microphone in front of a pink background.,A man wields a musical instrument.,0,snli_159784
A band in white hats and gloves plays with a stadium a people in behind them.,A band of all women in white hats and gloves plays for a stadium of old people.,1,snli_52373
A woman in a floral sweater and blue clothing holds a coffee-colored beverage by a busy street.,a woman holds a beverage,0,snli_339880
A little baby plays croquet.,The baby is asleep,2,snli_183633
A young man rides a bike while carrying a shovel as he passes a woman with a basket.,A young mad rides a blue bike.,1,snli_71634
I wish a sequence that involves a girl stripping and masturbating in Biggs' bedroom while he and his buddies ogle her on the Internet weren't so poorly staged and acted.,I wish there was a higher quality version of a girl stripping and masturbating.,0,mnli_316583
"Two people, one wearing a blue shirt and another wearing a pink shirt, are rappelling down a building.",Two people are on the side of a building.,0,snli_78620
"According to the analysis, the changes are designed to further the objectives of the prospective payment system,2 while maintaining the financial viability of the hospital industry and ensuring access to high quality health care for Medicare beneficiaries.",The potential payment system will be easily implemented.,1,mnli_367520
A woman in a white shirt and blue shorts follows a two people in red shirts up a staircase.,There is only one person present.,2,snli_372790
"Amy's View , the best of the recent works to show up here, is a more familiar and successful exercise.",Amy's View ranks at the bottom of the works that have ever shown up here.,2,mnli_126032
"A young man in a suit standing out from the crowd, at what appears to be an art exhibition.",The  young man is the mayor about to address the crowd.,1,snli_353848
"When pressed, we fall to the western trails and to the caves.",The trails go off to the west.,0,mnli_11871
religiously do water aerobics,Like clock work do water aerobics.,0,mnli_298206
"Today, in the '90s, right on schedule, fashions of the '70s are being given a nostalgic, sympathetically accurate whirl in such movies as Hilary and Jackie and The Ice Storm . A genial gaze is being cast on them just as flared trousers, square-toed shoes, and long male hair are once again looking normal in the real-life fashion universe.",Today's fashions are from the 1940's.,2,mnli_171435
A man on a boat getting ready to pull in his net to see what he caught.,The man is catching a shark in his net for dinner.,2,snli_11953
A person dressed in a tan jacket jumps a quad over a harvested cornfield in front of a small out building.,A person is riding a quad.,0,snli_134588
"Attempting to regain the Sinai and the Golan, Egypt and Syria struck back at Israel in 1973, on the holiest day of the Jewish year, Yom Kippur.",Yom Kippur is a day of great significance to the Jewish.,0,mnli_331789
A dog has his paw on the red roof of a kennel.,A dog is by a kennel.,0,snli_402755
Confused person standing in the middle of the trolley tracks trying to figure out the signs.,A human standing,0,snli_156934
Near the pleasant seaside village of Sainte-Anne farther east is what is generally considered to be Guadeloupe's best beach.,There are no beaches in the village in Sainte Anne.,2,mnli_148888
A television with a picture of a girl on it.,A screen showing a commercial.,1,snli_86050
"Michael Isikoff, the Newsweek reporter whom Brill criticizes, notes, first, that the full exchange is equivocal--Lewinsky also tells Tripp the president doesn't think she is going to tell the truth.",The president doubts Lewinsky will tell the truth.,0,mnli_350314
"Its vast bronze doors pictorially chart the island's history, and the immense main gallery inside has a diamond in the floor beneath the dome, symbolizing that now-distant era when Cuba was rich.",The fittings show a time that Cuba was far more wealthy than it is now. ,0,mnli_330218
A man in a striped sweater writes on a small rectangular chalkboard.,A man is drawing on a piece of construction paper.,2,snli_113236
A man preparing to hit a golf ball with a golf club.,A woman eating lunch.,2,snli_242350
The choice of the most appropriate fiscal policy path is a policy decision to be made by the Congress and the President.,The President helps write fiscal policy.,0,mnli_37865
"The blue team, Mustangs, are on a fast break, and are likely hoping to capitalize with some points.",The mustangs are fresh out of the factory.,2,snli_546862
A brown dog is laying on its back on the grass with a ball in its mouth.,A brown dog is playing fetch with a ball,1,snli_29033
Your grinch sounds like Scrooge with a mood disorder.,Scrooge with a mood disorder sounds like your grinch.,0,mnli_233440
"A male street performer juggles a brass ring using two sticks, while a couple and a male passerby, look on.",The male is performing on the street outside in front of the crowd.,0,snli_94573
It sat on the floor of the elder's council room - the sitting room of Alvic's home.,The elder's council room is not in Alvic's house. ,2,mnli_69112
A man and female prepare breakfast together in the kitchen with eggs and potatoes.,A man is swimming in an indoor pool.,2,snli_76323
i enjoy uh sewing and needlework also i've i've uh made some small things um cross stitch things and um back when i was in high school i worked,I didn't do needlework in high school.,2,mnli_221851
A red and white Ford Edge is driven by a professional driver.,A professional driver is winning the race,1,snli_172339
A man grilling vegetables on a patio with his dog.,A man is grilling meat while his dog looks for scraps.,1,snli_256730
"Three men in a boat on a riverbank, with cattle in the background.",Men are in a boat on Pirates of the Caribbean at Disneyland.,2,snli_32223
Both teams' story lines are marred by the fact that their coaches have been to the Super Bowl with other teams.,Their coaches have won the Super Bowl more than once,1,mnli_75002
"I got his reply this morning, and among other things it encloses the official statement of those saved from the Lusitania.",The reply names all the survivors.,1,mnli_341430
Two men looking at each other with computer monitors in the foreground.,The men are sitting at computers,1,snli_536822
uh women my age about then were maybe having trouble with parents or mothers and a friend of mine bought me something called My Mother and Myself and i tried to read it and i went this is i did the same thing i went this isn't anything,Women around my age have trouble with parents of mothers.,0,mnli_121725
"Bartolomé is right, Bayliss.","Bayliss, Bartolomé is correct.",0,mnli_147822
A lady with red-hair and a white jacket pauses to look at her shopping list in the milk section of a grocery store.,A woman realizes that she forgot to grab honey from the last aisle when looking at her shopping list.,1,snli_271211
A man in a blue coat addresses a group of at least sixteen men and women in a field.,A single man is speaking to a small group of followers outside.,0,snli_502854
"In 1967, the military took the reins of power in Athens, and until 1974, the  Colonels  held sway with a repressive and brutal regime.","The reins of power in Athens were took by the military in 1967, according to the newspaper.",1,mnli_162033
The 2001 reports have enabled the LSC Results Group to identify adjustments for improving reliability of the numerical data being provided by grantees.,Grantees provide numerical data for the LSC Results Group.,0,mnli_358358
"Phil Keisling, Oregon's secretary of state and a champion of vote-by-mail, agrees, The question behind closed doors is, 'Will this help our candidate?",Oregon's secretary of state didn't agree with the question.,2,mnli_51910
A girl in a blue dress walks through a crowd of people.,The girl is in a full auditorium.,1,snli_435159
What additional information would assist them in more accurately valuing stock?,The information is great ,1,mnli_327269
'I almost forgot.',"Oh yeah, I remember",0,mnli_292896
Bust scene outside of a club.,People are dancing in a club.,2,snli_174991
"Keeping Tabs now considers herself an insider, given that she knew all about Foster's secret passion after watching the actress discuss it at length on the Rosie O'Donnell Show last week.",They did not take her word for it since she was a novice.,2,mnli_240830
Three men in orange vests are pulling a jeep out of a ravine while another man sits inside.,The jeep cannot get out of the deep ravine.,1,snli_183262
"Two large black dogs, one with a ball in its mouth, are running through tall grass.",Two black dogs are playing outside.,0,snli_347710
two children asleep in the back of a car,Two children sleep arm and arm in the back of a car at night.,1,snli_92768
"The exhibits are entertaining and educational for all age groups, posing questions about our roles as managers of the earth's resources and the future of the planet.",Several hands-on exhibits help get people engaged.,1,mnli_29994
Three men travel down a sidewalk next to a park bench.,three men are sleeping.,2,snli_31555
Three people sit around a table with a laptop and food on it.,Three coworkers sit at a table during lunch with food and a laptop on the table.,1,snli_104541
A man in a helmet is riding a bike.,A man in a red helment is riding a bike.,1,snli_11001
A little boy and girl bounce on red and blue balls in the yard on grass.,Kids are throwing balls at each other.,1,snli_482358
A girl riding a toy horse in a Spider-Man costume,The girl is on a toy horse wearing a Spider-Man costume.,0,snli_470300
Password Incorrect,The password was wrong.,0,mnli_111610
A man in red takes cellphone pictures at a football game.,There is a man in red taking pictures with his cellphone at the football game.,0,snli_395596
The amarine' amphora is decorated with octopus and argonauts.,The amarine' amphora is adorned with carvings of octopus and argonauts.,0,mnli_63513
yeah we're the same because i'm in graduate school and we're living off her salary,I am a graduate student currently and living off her income.,0,mnli_228916
A bald man and a dark-haired man with a mustache are standing in the doorway near a chair store.,Two men standing in the doorway.,0,snli_129361
Two people walking down a stone walkway,Two dogs running down a grassy hill.,2,snli_150784
"Each year, OIM staff assists our grantees in verifying the reporting of CSR data through the annual self-inspection process.",An annual self inspection process is used to verify reporting.,0,mnli_285617
"Affirmative action (even for athletes and preppies) sometimes has a place in this land of second chances, where anyone can grow up to be president.","Here, where there are second chances, there is a potential president, astronaut or Oprah.",1,mnli_196402
"John Galliano won at $25,000 with a black cotton-satin hourglass corset covered with jeweled sprays and stars and faintly suggesting Jane Russell; followed at a great distance by a $2,000 Yoshibi Ishinuma bikini made entirely of swooping black coq feathers; and a Robert Beaulieu bikini made entirely of pale mink, available at a modest $750.","Winning at $25,000 was John Galliano with a cotton satin hourglass colored black.",0,mnli_252167
The long lines of slaves that had been carrying rock and rubble the day before now were being formed into hauling teams.,"The slaves, having carried the rock, now turned to form hauling teams.",0,mnli_305893
And then you'd see little toes twinkling behind their ears.,"You would ask them the question, and then you'd see little toes twinkling behind their ears. ",1,mnli_277437
The Bible and Koran were written when the scientific laws the 20 th century takes for granted were nonexistent.,The Bible and Koran were not written.,2,mnli_266648
I read Slate because the articles are stimulating.,I do not know how to read.,2,mnli_188054
A cloud of white smoke exploded from the back of the gun and swept into the hot wind.,The gun had never been fired.,2,mnli_10397
CHAPTER 8: CURRENT SERVICES ASSESSMENT,Chapter 8 is about current services assessment ,0,mnli_51660
The man with the eccentric clothing and hair poses in a store.,A man is in a store shopping.,1,snli_26611
"However, many people become leaders of organizations because they reflect the needs and attitudes of members, and therefore they are not likely to radically change the culture of the organization.",Leaders of organizations are usually selected by the members of the organizations.,1,mnli_231711
Various individuals riding escalators.,dog looks at barn,2,snli_535303
A man examines goods at a butcher shop.,The meat looks old,1,snli_390901
"This one-way connection will offer speeds up to 150,000 bits per second.",This speed is exceptionally fast compared to others.,1,mnli_271763
A woman in red enjoying the spray from a geyser of water.,A woman is watching a geyser.,0,snli_465666
Was Keynes also right when he warned against excessive saving?,"He might have been right, because of the fact that saving too much could hurt the economy.",1,mnli_75936
"As she stood there, with her honest face upturned to mine, I thought what a fine specimen she was of the old-fashioned servant that is so fast dying out. ",She had an honest face as she stood there.,0,mnli_36856
A boat worker holding a rope.,The worker is holding the line.,0,snli_43602
"A male janitorial worker, in a bright orange jumpsuit, and rubber boots, cleaning graffiti off a wall in a subway tunnel.",A man is works for the city.,1,snli_49996
A boat worker securing line.,The boat worker works hard to establish the line.,1,snli_274
young people on stage in front of an audience.,There are 7 year old children on stage.,1,snli_403212
A dark-haired male and blond-haired female dancing with others in a large room.,The man and woman are sitting alone in the room.,2,snli_44529
A soccer game is played in a stadium filled with spectators.,The soccer game ended 5 hours ago.,2,snli_415041
It would be sheer folly for such a company to invent preposterous lies and spins and feed them to the nation's most prominent publications.,It wouldn't be smart for a company to produce a bunch of lies.,0,mnli_246321
A man in a chef's jacket is seated at a white table and writing in a book.,A woman in a chef's jacket is seated at a white table and writing in a book.,2,snli_232005
"And in some way he could not define, this put him, at least in his own mind, on an equal footing with Don Cazar.",He thought that he and Don Cazar were equals because he has achieved many things that compares to that of Don Cazar.,1,mnli_252387
A UK street scene with stone buildings and two boys who have stopped their bikes on the sidewalk.,two boys are on the street,0,snli_327240
because it's called uh what it's called is Blackening Magic and it it comes in a bottle and uh,It's called Blackening Magic. ,0,mnli_14836
feline leukemia  so we know we try try real hard to keep them healthy,we should probably care better for their health,2,mnli_107891
A football player runs with the football passed his defender.,The defender is running behind the football player.,1,snli_307434
"Profile picture of a pale woman with dark hair, arms crossed",Profile picture of a woman with dark hair.,1,snli_200791
"The agency has made considerable progress in confronting its problems, but more needs to be done.","The agency has refused to acknowledge any problems, and is stonewalling any and all critics.",2,mnli_71933
A group of friends playing cards and trying to bluff each other into making a terrible mistake.,The people are playing a card game.,0,snli_430267
"Although the site is still under excavation, you can visit it.",The site is under excavation because an old man found a piece of an Etruscan vase.,1,mnli_226458
A brown and white dog stands outside while it snows.,The dog is not inside.,0,snli_114709
yes and uh this morning why it was raining and it was quite cold and then it seemed to warm up somewhat and then before uh before i got out of church it cooled off again so much so that i uh stopped at home to change coats because i had to go down to the hospital and uh the coat i had on was just too light in weight,It stayed the same temperature all day.,2,mnli_309127
so we get we get things over and over so if we miss them we can catch them later and that Gardens of the Worlds was absolutely glorious it was,Yeah if we miss something there will be a chance to catch it again. ,0,mnli_169075
"A man in a white shirt taking a photograph, while lots of people sit on the steps.",A man is taking selfies of himself,2,snli_290313
The woman in the purple with a pin and clipboard is waiting for the young lady answer.,Two women are communicating with eachother.,0,snli_9205
Asian man in blue shirt works with a machine,A man works with a machine.,0,snli_169003
A bike rider jumps through the air while being filmed.,A bike rider is being filmed for a television show.,1,snli_127419
"Commissioned by Charles II, the paintings were all the work of one man, Dutch artist Jacob de Wit.",Multiple artists were involved in the creation of the paintings. ,2,mnli_207601
From this angle you can see the tile floor pattern in this restaurant very well.,The wooden floor is throughout the restaurant.,2,snli_53961
A shirtless man reads the sports section of a newspaper.,the man in the suit read the stocks page of the paper,2,snli_403359
2 little girls made paper plate snowmen.,Two little boys made elves out of plastic plates.,2,snli_39288
People in the laundromat washing clothes.,Some one is cleaning their cloths.,0,snli_21226
A woman with a purple mo-hawk and a man with a goatee stand around talking.,Two old women fight.,2,snli_355017
It is open daily for meditation.,It is open every day for meditation.,0,mnli_339920
"A studious man wearing a red and black plaid shirt, looks over his test.",A man has finished his test and is looking over his answers,1,snli_491516
"insights from clinical trials should be gathered and made available to practitioners to help every emergency department and trauma center implement a coordinated, effective, and feasible program of screening and intervention for problem drinkers.",Insights from trials may save lives in emergency departments.  ,1,mnli_87665
A man sits on a bench while another man walks toward him.,The men are friends,1,snli_451511
"A young, white boy standing alone in a yard in autumn, using a leaf blower to clean the yard.","Young boy standing alone outside, using a leaf blower.",0,snli_509261
"With cinemas, banks, travel agencies, restaurants, and the better craft emporiums, it's a place whose new name, Indira Chowk, does not seem to catch on.",There are good restaurants and cinemas in Indira Chowk.,1,mnli_326760
A dog wearing an orange jacket is laying in the snow,A dog lies in the snow.,0,snli_332853
"For example, the quality of parts received by an activity, or the degree of complexity of tax returns to be reviewed by the IRS.",The IRS must review tax returns,1,mnli_188125
A man sitting on a subway looking at the camera.,The woman is looking at the camera,2,snli_431413
A baby swaddled in a blanket with balloon designs is sleeping on a white mattress inside a colorless plastic bassinet that has two notes taped to it.,The baby is being buckled into his carseat.,2,snli_448030
"A man running in a marathon runs past 3 bagpipe players, and a drummer, all wearing a uniform",The man is wearing shorts.,1,snli_239879
"A man wearing a black hat, white shirt, and black slacks is walking down a road with a cane.","A man with a hat,a white shirt and slacks is dancing.",2,snli_524171
A cute child is sitting on the rocks in a yellow frock.,A cute child is playing with her dolls in her room.,2,snli_375345
I still think you might have given me a hint.,I think your intention was to have given me a hint.,1,mnli_70996
The resulting constant dollar value is that which would exist if prices had remained at the same average level as in the base period.,The change in prices during the base period ended up changing the constant dollar value.,1,mnli_230662
"Freshwater, rock-lined swimming pool; bar.",They have a rock-lined pool outside.,1,mnli_124932
"Griffith to form United Artists , a distribution company meant to compete with the larger film companies, which were churning out formula films and treating most actors and actresses as hired hands.",United Artists is a film company.,2,mnli_50783
A guy with long hair and a wineglasses standing near two other men.,Six girls about to go down a big waterslide.,2,snli_347880
and so i don't i don't know firsthand of these benefits,I have no idea what the advantages could be.,0,mnli_47127
A restaurant with two booths occupied and a wheelchair leaning against a table.,the wheelchair is in the kitchen,2,snli_100837
The waitress clears dishes at the middle eastern restaurant.,The woman clears the remains of falafel from the restaurant table.,1,snli_353179
A groom and bride make their way down the aisle as man and wife.,A married couple walks down an aisle.,0,snli_464586
A long moment came before he spoke.,He started talking right away.,2,mnli_71710
A woman in a dress is playing the bass guitar.,A woman in a dress is playing guitar,0,snli_299632
A man in a hoodie does an ollie on his skateboard with people in the park in the background.,a man rides a skateboard,0,snli_5086
A person carrying a child piggyback style on a beach chasing a frisbee rolling toward the water.,A person carrying a child piggyback style on a beach quickly chasing a frisbee rolling toward the water.,1,snli_527520
A man in a black and white checkered outfit puts white paint around his eyes.,The man wears red.,2,snli_400308
"This analysis is far from exhaustive, and I know from much recent experience that Slate readers will forcefully call my attention to scenarios I've failed to consider.","This analysis is not exhaustive, said the article.",1,mnli_153352
Men in baggy clothes hang out on a sidewalk while a cab sits nearby.,The men are wearing business suits and top hats.,2,snli_312408
"Time of year is also a factor, the winter months bringing heavier seas.",January through March are months where the seas are most disturbed.,1,mnli_138076
A black motorcycle parked in a parking lot in front of a grass filled hill.,Black motorcycle being displayed for pictures,1,snli_7300
Fireman on roof with ladder and trees in the background,A fireman stops to eat lunch.,2,snli_335589
Another winter crop is bricks.,Another thing created in the winter is bricks. ,0,mnli_55594
"However, the rule does contain Federal mandates that will result in the expenditure of $100 million or more in any one year for the private sector.","However, the rule does contain Federal mandates that will result in the expenditure of $1 million or more in any one year for the public sector.",2,mnli_207950
a shirtless man leans over a balcony looking platform.,A man admires his domain.,1,snli_109573
"A male inside of a Brigada truck sitting outside of a locked gate, and a dark-skinned woman holding a red flag.",A man sits in a truck,0,snli_358310
A woman is singing into an old style microphone accompanied by a man.,The woman is moving her mouth.,0,snli_167386
"Set among formal gardens on a bluff overlooking the Manzanares valley, on the site of the old Moorish fortress (which burned down in 1734), the immense and imperious residence is loaded with art and history.",There is plenty of art and history to be absorbed in the residence.,0,mnli_1211
so you think like CIA influence and our money over there,You think that the CIA influence and all the money over their are part of the problem/,1,mnli_333137
Two hands hold a container of nail polish.,The hand is holding two bottles of polish.,2,snli_522760
A man in summer wear draws an intricate painting on an asphalt lot.,He is a street artist who paints.,1,snli_511441
A man in a red sweater is sitting at a table with food and drinks in front of him.,A man in a red sweater is standing at a table playing checkers.,2,snli_120161
Risk Factors and Costs Associated with an Asthma Attack.,Asthma attacks are life threatening ,1,mnli_243277
--Andrew Pink curtains!,There are pink curtains in Andrew's bedroom.,1,mnli_301120
"The Kodak-Fuji case was, as innumerable press accounts have pointed out, the most important case to come before the WTO in its two years of existence.",The Kodak-Fuji case went to the WTO to be decided.,0,mnli_4793
Jon fell in and out of sleep until the huge red sun rose and painted the Old One in scarlet.,Jon slept fitfully until the sun colored the Old One in a scarlet hue.,0,mnli_11386
"Unusual colorin' all right.""","Normal coloring, for sure.",2,mnli_75088
have y'all been able to do much as a as a full family these days all of you,Now that you have a large family do you still get to do many things?,0,mnli_86070
A hippy girl with blond and pink side hair streaks and shades dressed in a white shirt and black attire.,The girl is smiling.,1,snli_119179
"In brief, the six types of case study, which we examine in chapter 3, are as ",Homework will be given about the six types of case study.,1,mnli_150617
"Islanders are just as wild about futebol as mainlanders, and Funchal's premier team, in the first division of the Portuguese league, plays at the fine local stadium (on Rua Dr. Pita) during the season.",Islanders don't love futebol nearly as much as mainlanders do.,2,mnli_288872
"She keeps the fatal letter.""",Someone found the fatal letter in her possession.,1,mnli_62749
"ESTIMATED COST -The process of projecting a future result in terms of cost, based on information available at the time.",Estimated costs are exact,1,mnli_216098
He took it off and hurled it into a corner disgustedly.,"When he threw it, it landed in a bin.",1,mnli_217995
"In a nearby 19th-century Anglican church is the visitor center, with exhibits and an audio-visual show.",A church is the visitor center.,0,mnli_143538
"Two men laughing, both wearing headphones at a party as they adjust the music.",The two men are the dee-jays for the party.,1,snli_261209
"Little Willie here travels round with me everywhere."" He produced a murderous-looking automatic, and tapped it affectionately before returning it to its home.","He took out a silver automatic pistol, showed it off, and put it back in its holster.",1,mnli_353530
then as the fall comes on you get a you can get a really beautiful second crop of a lot of the cooler weather vegetables and sometimes that's the only some peas and different things like that that's the only time of the year you can grow them,Peas are a vegetable that grows in cooler weather.,0,mnli_313659
A man is crossing the stop the violence painting.,A woman stops to admire the stop the violence painting.,2,snli_503057
Male in poor area of the world using a bucket to pour water on himself.,A kid is at school studying.,2,snli_493701
"A woman is sitting on a beach with her shoes off and on a cellphone talking, scratching her shoulder, while a group of 5 other people are walking in the background.",A woman is scratching her toes,2,snli_398540
A dog and sand blowing in the wind,Sand is blowing by a dog.,0,snli_142564
A man skateboards off a dumpster.,The man falls down off the dumpster.,1,snli_50271
"I think this one is a shade less solid than the one in the passage."" We strained and heaved together. ",The door was of lighter construct. ,1,mnli_318466
"A blond street worker wearing a white hard hat, orange shirt, jeans and a reflective jacket in front of a white truck and orange pylons.",A man chooses chocolate.,2,snli_234501
"This would not be the blanket grant of authority envisioned in the original Freedom to Manage proposal, but it would permit both the executive branch and the Congress to feel confident that proposed changes would receive timely consideration.",Changes proposed by the President and Congress would not receive any consideration.,2,mnli_366634
A sports player celebrates by spraying champagne outdoors.,A sports play is outdoor spaying champagne in celebration.,0,snli_177133
"She was half-way across St. James's Park, when a man's voice behind her made her start.",She didn't encounter the man in St. James' Park that day.,2,mnli_288018
"A man wearing a colorful shirt is sitting with a plastic bucket on a wooden raft-type structure in brownish water with a canoe nearby, very close to the shore which is covered with greenery.",A man is walking around a river.,2,snli_134822
feel sorry for her,Feel bad for her. ,0,mnli_226667
TRUST REVOLVING FUNDS -Accounts that record permanent appropriation and expenditure of collections used to carry out a cycle of business type operations in accordance with a statute that designates the fund as a trust fund.,"Where Trust Revolving Funds are concerned, the classification of the monies as a ""trust fund"" is governed by statute.",0,mnli_342859
"Man wearing a cotton gray tank top, straw hat and rope necklace singing into a microphone and playing a bass.",A man is wearing a cotton light gray tank top.,1,snli_282167
Regulatory Impact Analysis for the Particulate Matter and Ozone National Ambient Air Quality Standards and Proposed Regional Haze Rule.,The health of the environment needs to be studied.,1,mnli_208905
"There are young men playing a game of football, one man has been tackled by another player.",A group  of young men play football.,0,snli_139507
Two dogs run along the green grass near the water.,the two dogs are outside,0,snli_8251
A man looks at the camera while he sits down in a cluttered house.,A man stares toward the camera while sitting down in a messy storage facility.,1,snli_73547
A man in a red coat skiing.,A man skis outdoors.,0,snli_65847
Two dogs are sitting together in a wheat field.,There is a field of wheat plants.,0,snli_299281
State planning addresses discrimination-based advocacy and the infrastructure necessary to achieve it.,State planning addresses neither advocacy based on discrimination nor the infrastructure behind it.,2,mnli_121273
but um i don't know i mean what do you think we can uh i guess as individuals or as a group do about uh air pollution,I'm not sure that there's much we can do about air pollution.,0,mnli_93916
"The full extent of unpaid wage damages, failure to pay end-of-season bonuses, wrongful discharge, retaliation, and disputes over periods of employment often may not be determined until the work is finished.",People were overpaid by $4 million.,2,mnli_322887
Three children are riding tricycles on the path.,Three children are riding bikes on the path.,2,snli_524054
"For it is in America, not Asia, that a connection is presumed among people of Chinese, Thai, Filipino, and Pakistani descent.","Chinese and Pakistani originated in from America, not Asia.",2,mnli_40961
A man is sitting on a bench in front of water fountain.,The man is in the park.,1,snli_120547
A welder in a mask welding with sparks flying.,The welder is smelling the flowers.,2,snli_356961
A young girl exploring the woods.,A girl outside.,0,snli_533324
"Representatives from several organizations that relied on voluntary contributions from members emphasized, however, that such funding must be unbiased-that is, used for promoting open and honest information sharing rather than furthering an individual's or organization's stature in the community or for gaining clients.",Representatives stressed that it didn't matter if the contributions went towards allowing members to increase their stature within the organization.,2,mnli_76424
"The house became the property of the British military in 1814 and was selected as the seat of the island legislature in 1872, when the capital was moved from Spanish Town to Kingston.",The house had its ownership shifted to the British military in 1814.,0,mnli_275575
"Since top athletes inevitably are drawn from the healthiest sector of the population, a generally superior system of health care means a bigger pool of people to draw from.",A larger pool of people will result in a superior health care system.,1,mnli_272550
Two men in red robes performing martial arts.,the men a re old,1,snli_388343
A shirtless man with tattoos is working on scaffolding.,A man is sleeping on a bench.,2,snli_138492
"Since the late 1970s, slot machines have become the most popular form of gaming in Las Vegas so much so that they supersede the play at table games in many casinos.",Slot machines are not popular anymore.,2,mnli_79643
A little girl brushing a woman's hair.,The girl braided it.,1,snli_304850
Two divers are looking at wreckage of some sort underwater.,The divers are in the water.,0,snli_390149
Four men float in a blue boat while cattle graze nearby.,The men are sailers.,1,snli_32219
A band on stage with guitars and brass,a band playing on stage.,1,snli_112914
An oriental man performing physical strengths on the floor.,a man is performing physical strenghts,0,snli_528308
